               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.021752,             0.01907,           0.0021344,             0.93617,             0.96785,             0.96278,             0.79088,            0.016859,            0.011151,           0.0014143,           0.0089506,           0.0089506,           0.0089506
                 108,            0.022118,            0.020503,           0.0022705,             0.93996,             0.96312,             0.96505,             0.80654,            0.015889,            0.010501,           0.0014028,           0.0089407,           0.0089407,           0.0089407
                 109,            0.021554,            0.019879,           0.0022923,              0.9326,             0.96987,             0.97293,             0.79815,            0.016608,            0.010552,              0.0014,           0.0089308,           0.0089308,           0.0089308
                 110,            0.019528,            0.019887,           0.0016615,             0.95877,             0.94286,             0.97333,             0.80955,            0.017101,            0.010415,           0.0012473,           0.0089209,           0.0089209,           0.0089209
                 111,            0.020694,              0.0203,           0.0017562,              0.9637,             0.95783,             0.97862,             0.79706,            0.015865,            0.010214,           0.0012306,            0.008911,            0.008911,            0.008911
                 112,            0.019686,              0.0206,           0.0016853,             0.94145,             0.96698,             0.97225,             0.81998,            0.016601,            0.010009,           0.0013087,           0.0089011,           0.0089011,           0.0089011
                 113,            0.019914,             0.01768,           0.0019905,              0.9324,             0.96457,             0.96606,             0.78259,            0.018098,            0.010825,           0.0013847,           0.0088912,           0.0088912,           0.0088912
                 114,             0.02239,            0.021347,           0.0016629,             0.93255,             0.96287,             0.96026,             0.78306,            0.016631,            0.011131,           0.0015213,           0.0088813,           0.0088813,           0.0088813
                 115,            0.019032,            0.018976,           0.0015224,             0.94253,             0.95548,             0.96418,             0.80614,            0.016368,            0.010671,           0.0015344,           0.0088714,           0.0088714,           0.0088714
                 116,            0.021263,            0.019528,           0.0018738,             0.95186,             0.96783,             0.96714,             0.81061,            0.014891,            0.010295,           0.0015762,           0.0088615,           0.0088615,           0.0088615
                 117,            0.020997,            0.018636,           0.0020533,             0.94354,              0.9708,             0.96671,             0.79984,            0.018056,            0.010539,           0.0015734,           0.0088516,           0.0088516,           0.0088516
                 118,            0.018957,            0.018428,           0.0017921,             0.94529,             0.97322,             0.96605,             0.80125,            0.016474,            0.010565,           0.0014809,           0.0088417,           0.0088417,           0.0088417
                 119,            0.021307,            0.020096,             0.00154,             0.93711,             0.97274,             0.97101,             0.79488,            0.016966,            0.010491,           0.0015907,           0.0088318,           0.0088318,           0.0088318
                 120,            0.020677,            0.019063,           0.0021196,             0.94769,             0.98536,             0.96872,             0.81124,            0.017115,            0.010355,           0.0014806,           0.0088219,           0.0088219,           0.0088219
                 121,            0.019746,            0.018863,           0.0017733,             0.93999,               0.983,             0.96927,              0.7896,            0.015957,            0.010059,            0.001505,            0.008812,            0.008812,            0.008812
                 122,            0.021713,            0.018956,           0.0020506,             0.93766,             0.96343,             0.97234,             0.78894,            0.017312,            0.010411,           0.0015346,           0.0088021,           0.0088021,           0.0088021
                 123,            0.019377,            0.018809,           0.0018636,             0.92764,             0.97471,             0.96671,             0.79283,            0.017047,            0.010991,           0.0016054,           0.0087922,           0.0087922,           0.0087922
                 124,            0.020984,            0.018322,           0.0023489,             0.93007,             0.96788,             0.97683,             0.78701,            0.017689,            0.010861,           0.0014693,           0.0087823,           0.0087823,           0.0087823
                 125,            0.021911,            0.018603,           0.0018747,             0.95793,             0.95554,             0.97349,             0.81341,            0.015918,            0.010723,           0.0014386,           0.0087724,           0.0087724,           0.0087724
                 126,            0.019946,             0.01852,           0.0017235,             0.96545,             0.95614,             0.97986,             0.81589,            0.015943,            0.010676,           0.0014655,           0.0087625,           0.0087625,           0.0087625
                 127,            0.020598,            0.019764,           0.0018288,             0.95007,             0.97174,             0.98185,             0.81728,            0.015887,            0.010377,           0.0013595,           0.0087526,           0.0087526,           0.0087526
                 128,            0.019118,            0.018814,           0.0015057,             0.95206,             0.97227,              0.9783,             0.76135,            0.016672,            0.010572,           0.0012445,           0.0087427,           0.0087427,           0.0087427
                 129,            0.018804,            0.019072,           0.0015656,             0.93847,               0.971,             0.97679,             0.82022,            0.016215,            0.010512,           0.0012716,           0.0087328,           0.0087328,           0.0087328
                 130,            0.020198,            0.019482,           0.0018436,             0.94012,             0.97069,             0.97783,             0.82664,            0.015107,            0.010658,           0.0013266,           0.0087229,           0.0087229,           0.0087229
                 131,            0.019414,            0.018641,           0.0016941,             0.93995,             0.96834,             0.97831,             0.80898,            0.015859,            0.010887,           0.0014228,            0.008713,            0.008713,            0.008713
